r1	r2	sample	BC
CLL_05-599_S215_L006_R1_001.fastq.gz	CLL_05-599_S215_L006_R2_001.fastq.gz	CLL_05-599_S215_L006	QEOCLDHY
CLL_05-599_S216_L006_R1_001.fastq.gz	CLL_05-599_S216_L006_R2_001.fastq.gz	CLL_05-599_S216_L006	HTFNWPSV
CLL_05-599_S217_L001_R1_001.fastq.gz	CLL_05-599_S217_L001_R2_001.fastq.gz	CLL_05-599_S217_L001	ISMJTHKU
CLL_05-599_S217_L007_R1_001.fastq.gz	CLL_05-599_S217_L007_R2_001.fastq.gz	CLL_05-599_S217_L007	PHOLEDJO
CLL_05-599_S218_L007_R1_001.fastq.gz	CLL_05-599_S218_L007_R2_001.fastq.gz	CLL_05-599_S218_L007	FXYEEYJQ
CLL_05-599_S219_L007_R1_001.fastq.gz	CLL_05-599_S219_L007_R2_001.fastq.gz	CLL_05-599_S219_L007	DLSWFQHP
CLL_05-599_S220_L001_R1_001.fastq.gz	CLL_05-599_S220_L001_R2_001.fastq.gz	CLL_05-599_S220_L001	RPHAILVE
CLL_05-599_S221_L006_R1_001.fastq.gz	CLL_05-599_S221_L006_R2_001.fastq.gz	CLL_05-599_S221_L006	QHIXZEWX
CLL_05-599_S221_L007_R1_001.fastq.gz	CLL_05-599_S221_L007_R2_001.fastq.gz	CLL_05-599_S221_L007	BLTCCGUG
CLL_05-599_S223_L007_R1_001.fastq.gz	CLL_05-599_S223_L007_R2_001.fastq.gz	CLL_05-599_S223_L007	ETIPMOVN
CLL_05-599_S224_L007_R1_001.fastq.gz	CLL_05-599_S224_L007_R2_001.fastq.gz	CLL_05-599_S224_L007	UJIMJLXW
CLL_05-599_S227_L006_R1_001.fastq.gz	CLL_05-599_S227_L006_R2_001.fastq.gz	CLL_05-599_S227_L006	OQRPBVXV
CLL_05-599_S229_L001_R1_001.fastq.gz	CLL_05-599_S229_L001_R2_001.fastq.gz	CLL_05-599_S229_L001	KEXLKXMQ
CLL_05-599_S229_L006_R1_001.fastq.gz	CLL_05-599_S229_L006_R2_001.fastq.gz	CLL_05-599_S229_L006	MPQLNEMW
CLL_05-599_S231_L001_R1_001.fastq.gz	CLL_05-599_S231_L001_R2_001.fastq.gz	CLL_05-599_S231_L001	UOGSCWOY
CLL_05-599_S231_L006_R1_001.fastq.gz	CLL_05-599_S231_L006_R2_001.fastq.gz	CLL_05-599_S231_L006	PKSDEROC
CLL_05-599_S232_L006_R1_001.fastq.gz	CLL_05-599_S232_L006_R2_001.fastq.gz	CLL_05-599_S232_L006	ZEGMJMJK
CLL_05-599_S233_L001_R1_001.fastq.gz	CLL_05-599_S233_L001_R2_001.fastq.gz	CLL_05-599_S233_L001	HQGAARCR
CLL_05-599_S234_L001_R1_001.fastq.gz	CLL_05-599_S234_L001_R2_001.fastq.gz	CLL_05-599_S234_L001	XCUOYIDM
CLL_05-599_S235_L007_R1_001.fastq.gz	CLL_05-599_S235_L007_R2_001.fastq.gz	CLL_05-599_S235_L007	VJYEIHES
CLL_05-599_S240_L001_R1_001.fastq.gz	CLL_05-599_S240_L001_R2_001.fastq.gz	CLL_05-599_S240_L001	VZYKATOK
CLL_05-599_S241_L001_R1_001.fastq.gz	CLL_05-599_S241_L001_R2_001.fastq.gz	CLL_05-599_S241_L001	SLNGMOPH
CLL_05-599_S241_L007_R1_001.fastq.gz	CLL_05-599_S241_L007_R2_001.fastq.gz	CLL_05-599_S241_L007	XDQQIMEV
CLL_05-599_S243_L001_R1_001.fastq.gz	CLL_05-599_S243_L001_R2_001.fastq.gz	CLL_05-599_S243_L001	IYZGLZLG
CLL_05-599_S245_L007_R1_001.fastq.gz	CLL_05-599_S245_L007_R2_001.fastq.gz	CLL_05-599_S245_L007	RZFSFDVG
CLL_05-599_S247_L006_R1_001.fastq.gz	CLL_05-599_S247_L006_R2_001.fastq.gz	CLL_05-599_S247_L006	NCHOTWNK
CLL_05-599_S248_L007_R1_001.fastq.gz	CLL_05-599_S248_L007_R2_001.fastq.gz	CLL_05-599_S248_L007	CCXRVRRL
CLL_05-599_S249_L007_R1_001.fastq.gz	CLL_05-599_S249_L007_R2_001.fastq.gz	CLL_05-599_S249_L007	AKMRAZUQ
CLL_05-599_S24_L001_R1_001.fastq.gz	CLL_05-599_S24_L001_R2_001.fastq.gz	CLL_05-599_S24_L001	CABLPJGX
CLL_05-599_S252_L007_R1_001.fastq.gz	CLL_05-599_S252_L007_R2_001.fastq.gz	CLL_05-599_S252_L007	SKUPYHRI
CLL_05-599_S253_L007_R1_001.fastq.gz	CLL_05-599_S253_L007_R2_001.fastq.gz	CLL_05-599_S253_L007	TXVQLBAY
CLL_05-599_S254_L007_R1_001.fastq.gz	CLL_05-599_S254_L007_R2_001.fastq.gz	CLL_05-599_S254_L007	RDLXPWPJ
CLL_05-599_S256_L006_R1_001.fastq.gz	CLL_05-599_S256_L006_R2_001.fastq.gz	CLL_05-599_S256_L006	BNESQMSR
CLL_05-599_S258_L001_R1_001.fastq.gz	CLL_05-599_S258_L001_R2_001.fastq.gz	CLL_05-599_S258_L001	RZKNOCHW
CLL_05-599_S258_L006_R1_001.fastq.gz	CLL_05-599_S258_L006_R2_001.fastq.gz	CLL_05-599_S258_L006	DMEUJNAH
CLL_05-599_S259_L007_R1_001.fastq.gz	CLL_05-599_S259_L007_R2_001.fastq.gz	CLL_05-599_S259_L007	RSNQTXGQ
CLL_05-599_S25_L006_R1_001.fastq.gz	CLL_05-599_S25_L006_R2_001.fastq.gz	CLL_05-599_S25_L006	JCBNKPZC
CLL_05-599_S25_L007_R1_001.fastq.gz	CLL_05-599_S25_L007_R2_001.fastq.gz	CLL_05-599_S25_L007	KNMELVIB
CLL_05-599_S260_L001_R1_001.fastq.gz	CLL_05-599_S260_L001_R2_001.fastq.gz	CLL_05-599_S260_L001	BGKGSKEE
CLL_05-599_S261_L007_R1_001.fastq.gz	CLL_05-599_S261_L007_R2_001.fastq.gz	CLL_05-599_S261_L007	HJCEOIHK
CLL_05-599_S262_L007_R1_001.fastq.gz	CLL_05-599_S262_L007_R2_001.fastq.gz	CLL_05-599_S262_L007	GTYPINCO
