r1	r2	sample	BC
CLL_05-76_S219_L001_R1_001.fastq.gz	CLL_05-76_S219_L001_R2_001.fastq.gz	CLL_05-76_S219_L001	XRHEEDFR
CLL_05-76_S220_L006_R1_001.fastq.gz	CLL_05-76_S220_L006_R2_001.fastq.gz	CLL_05-76_S220_L006	FFGDOGLJ
CLL_05-76_S222_L001_R1_001.fastq.gz	CLL_05-76_S222_L001_R2_001.fastq.gz	CLL_05-76_S222_L001	YJAWUBFN
CLL_05-76_S223_L006_R1_001.fastq.gz	CLL_05-76_S223_L006_R2_001.fastq.gz	CLL_05-76_S223_L006	KXKBTMJS
CLL_05-76_S224_L001_R1_001.fastq.gz	CLL_05-76_S224_L001_R2_001.fastq.gz	CLL_05-76_S224_L001	AISEGFYR
CLL_05-76_S225_L001_R1_001.fastq.gz	CLL_05-76_S225_L001_R2_001.fastq.gz	CLL_05-76_S225_L001	ZHMFPILD
CLL_05-76_S225_L006_R1_001.fastq.gz	CLL_05-76_S225_L006_R2_001.fastq.gz	CLL_05-76_S225_L006	YVWBENVN
CLL_05-76_S226_L006_R1_001.fastq.gz	CLL_05-76_S226_L006_R2_001.fastq.gz	CLL_05-76_S226_L006	CCIFTWTL
CLL_05-76_S227_L001_R1_001.fastq.gz	CLL_05-76_S227_L001_R2_001.fastq.gz	CLL_05-76_S227_L001	PATCTYLY
CLL_05-76_S227_L007_R1_001.fastq.gz	CLL_05-76_S227_L007_R2_001.fastq.gz	CLL_05-76_S227_L007	ADWEYGKH
CLL_05-76_S230_L006_R1_001.fastq.gz	CLL_05-76_S230_L006_R2_001.fastq.gz	CLL_05-76_S230_L006	UQKFOXAX
CLL_05-76_S232_L007_R1_001.fastq.gz	CLL_05-76_S232_L007_R2_001.fastq.gz	CLL_05-76_S232_L007	PYHNCYKB
CLL_05-76_S233_L006_R1_001.fastq.gz	CLL_05-76_S233_L006_R2_001.fastq.gz	CLL_05-76_S233_L006	OOVINDFS
CLL_05-76_S233_L007_R1_001.fastq.gz	CLL_05-76_S233_L007_R2_001.fastq.gz	CLL_05-76_S233_L007	IDAZWGAD
CLL_05-76_S235_L006_R1_001.fastq.gz	CLL_05-76_S235_L006_R2_001.fastq.gz	CLL_05-76_S235_L006	SGHRBQCM
CLL_05-76_S236_L001_R1_001.fastq.gz	CLL_05-76_S236_L001_R2_001.fastq.gz	CLL_05-76_S236_L001	ZSJVVUOB
CLL_05-76_S238_L007_R1_001.fastq.gz	CLL_05-76_S238_L007_R2_001.fastq.gz	CLL_05-76_S238_L007	PPPWDGJW
CLL_05-76_S240_L007_R1_001.fastq.gz	CLL_05-76_S240_L007_R2_001.fastq.gz	CLL_05-76_S240_L007	DHCJZGSS
CLL_05-76_S242_L007_R1_001.fastq.gz	CLL_05-76_S242_L007_R2_001.fastq.gz	CLL_05-76_S242_L007	NNBGXXYD
CLL_05-76_S245_L006_R1_001.fastq.gz	CLL_05-76_S245_L006_R2_001.fastq.gz	CLL_05-76_S245_L006	QZRTVFGR
CLL_05-76_S246_L007_R1_001.fastq.gz	CLL_05-76_S246_L007_R2_001.fastq.gz	CLL_05-76_S246_L007	QOHIWDCK
CLL_05-76_S248_L001_R1_001.fastq.gz	CLL_05-76_S248_L001_R2_001.fastq.gz	CLL_05-76_S248_L001	YLYEAGPH
CLL_05-76_S248_L006_R1_001.fastq.gz	CLL_05-76_S248_L006_R2_001.fastq.gz	CLL_05-76_S248_L006	UFARVPFM
CLL_05-76_S249_L001_R1_001.fastq.gz	CLL_05-76_S249_L001_R2_001.fastq.gz	CLL_05-76_S249_L001	UJLEHOBM
CLL_05-76_S249_L006_R1_001.fastq.gz	CLL_05-76_S249_L006_R2_001.fastq.gz	CLL_05-76_S249_L006	FVXVBTTY
CLL_05-76_S24_L006_R1_001.fastq.gz	CLL_05-76_S24_L006_R2_001.fastq.gz	CLL_05-76_S24_L006	YMBMLKUL
CLL_05-76_S250_L007_R1_001.fastq.gz	CLL_05-76_S250_L007_R2_001.fastq.gz	CLL_05-76_S250_L007	XZMXVXUJ
CLL_05-76_S251_L001_R1_001.fastq.gz	CLL_05-76_S251_L001_R2_001.fastq.gz	CLL_05-76_S251_L001	AKGXZMIC
CLL_05-76_S252_L006_R1_001.fastq.gz	CLL_05-76_S252_L006_R2_001.fastq.gz	CLL_05-76_S252_L006	ZDLJXODA
CLL_05-76_S253_L001_R1_001.fastq.gz	CLL_05-76_S253_L001_R2_001.fastq.gz	CLL_05-76_S253_L001	SCXHMNYE
CLL_05-76_S254_L001_R1_001.fastq.gz	CLL_05-76_S254_L001_R2_001.fastq.gz	CLL_05-76_S254_L001	PCSGZUQK
CLL_05-76_S254_L006_R1_001.fastq.gz	CLL_05-76_S254_L006_R2_001.fastq.gz	CLL_05-76_S254_L006	WGZUEZTU
CLL_05-76_S256_L001_R1_001.fastq.gz	CLL_05-76_S256_L001_R2_001.fastq.gz	CLL_05-76_S256_L001	FFMKPVLG
CLL_05-76_S257_L007_R1_001.fastq.gz	CLL_05-76_S257_L007_R2_001.fastq.gz	CLL_05-76_S257_L007	JJZZCTTO
CLL_05-76_S25_L001_R1_001.fastq.gz	CLL_05-76_S25_L001_R2_001.fastq.gz	CLL_05-76_S25_L001	IIIPDHYT
CLL_05-76_S262_L006_R1_001.fastq.gz	CLL_05-76_S262_L006_R2_001.fastq.gz	CLL_05-76_S262_L006	XKNMLKVZ
CLL_05-76_S263_L001_R1_001.fastq.gz	CLL_05-76_S263_L001_R2_001.fastq.gz	CLL_05-76_S263_L001	YOQRLLHD
CLL_05-76_S267_L006_R1_001.fastq.gz	CLL_05-76_S267_L006_R2_001.fastq.gz	CLL_05-76_S267_L006	IBPBJXEC
CLL_05-76_S267_L007_R1_001.fastq.gz	CLL_05-76_S267_L007_R2_001.fastq.gz	CLL_05-76_S267_L007	BBWBGYKP
CLL_05-76_S268_L006_R1_001.fastq.gz	CLL_05-76_S268_L006_R2_001.fastq.gz	CLL_05-76_S268_L006	UCUDZSMN
CLL_05-76_S269_L006_R1_001.fastq.gz	CLL_05-76_S269_L006_R2_001.fastq.gz	CLL_05-76_S269_L006	PNDCGXSH
CLL_05-76_S272_L006_R1_001.fastq.gz	CLL_05-76_S272_L006_R2_001.fastq.gz	CLL_05-76_S272_L006	VDBRMUET
CLL_05-76_S273_L007_R1_001.fastq.gz	CLL_05-76_S273_L007_R2_001.fastq.gz	CLL_05-76_S273_L007	INSVMIGC
CLL_05-76_S274_L001_R1_001.fastq.gz	CLL_05-76_S274_L001_R2_001.fastq.gz	CLL_05-76_S274_L001	VSVSAUFP
CLL_05-76_S276_L001_R1_001.fastq.gz	CLL_05-76_S276_L001_R2_001.fastq.gz	CLL_05-76_S276_L001	LWBSZQJE
CLL_05-76_S276_L007_R1_001.fastq.gz	CLL_05-76_S276_L007_R2_001.fastq.gz	CLL_05-76_S276_L007	SQKQZOTX
CLL_05-76_S278_L007_R1_001.fastq.gz	CLL_05-76_S278_L007_R2_001.fastq.gz	CLL_05-76_S278_L007	JOZVZBSB
CLL_05-76_S27_L007_R1_001.fastq.gz	CLL_05-76_S27_L007_R2_001.fastq.gz	CLL_05-76_S27_L007	FKDEFUIO
CLL_05-76_S283_L006_R1_001.fastq.gz	CLL_05-76_S283_L006_R2_001.fastq.gz	CLL_05-76_S283_L006	PLDLSFUG
CLL_05-76_S284_L007_R1_001.fastq.gz	CLL_05-76_S284_L007_R2_001.fastq.gz	CLL_05-76_S284_L007	MBWCFCJK
CLL_05-76_S287_L006_R1_001.fastq.gz	CLL_05-76_S287_L006_R2_001.fastq.gz	CLL_05-76_S287_L006	QXMMYQKC
CLL_05-76_S289_L001_R1_001.fastq.gz	CLL_05-76_S289_L001_R2_001.fastq.gz	CLL_05-76_S289_L001	VRRKTVFT
CLL_05-76_S28_L006_R1_001.fastq.gz	CLL_05-76_S28_L006_R2_001.fastq.gz	CLL_05-76_S28_L006	BWKTBEPE
CLL_05-76_S28_L007_R1_001.fastq.gz	CLL_05-76_S28_L007_R2_001.fastq.gz	CLL_05-76_S28_L007	HJFWSBLJ
CLL_05-76_S292_L001_R1_001.fastq.gz	CLL_05-76_S292_L001_R2_001.fastq.gz	CLL_05-76_S292_L001	ETLWDAFJ
CLL_05-76_S292_L006_R1_001.fastq.gz	CLL_05-76_S292_L006_R2_001.fastq.gz	CLL_05-76_S292_L006	JKVZTQAJ
CLL_05-76_S293_L007_R1_001.fastq.gz	CLL_05-76_S293_L007_R2_001.fastq.gz	CLL_05-76_S293_L007	KZNFAXMX
CLL_05-76_S294_L007_R1_001.fastq.gz	CLL_05-76_S294_L007_R2_001.fastq.gz	CLL_05-76_S294_L007	HJQZPEZS
CLL_05-76_S295_L001_R1_001.fastq.gz	CLL_05-76_S295_L001_R2_001.fastq.gz	CLL_05-76_S295_L001	LMNSMNNW
CLL_05-76_S296_L001_R1_001.fastq.gz	CLL_05-76_S296_L001_R2_001.fastq.gz	CLL_05-76_S296_L001	HDKDBRYR
CLL_05-76_S298_L006_R1_001.fastq.gz	CLL_05-76_S298_L006_R2_001.fastq.gz	CLL_05-76_S298_L006	TVIPYWSU
CLL_05-76_S298_L007_R1_001.fastq.gz	CLL_05-76_S298_L007_R2_001.fastq.gz	CLL_05-76_S298_L007	JAYYGGGZ
CLL_05-76_S299_L007_R1_001.fastq.gz	CLL_05-76_S299_L007_R2_001.fastq.gz	CLL_05-76_S299_L007	SLWCLLMW
CLL_05-76_S2_L001_R1_001.fastq.gz	CLL_05-76_S2_L001_R2_001.fastq.gz	CLL_05-76_S2_L001	HRETKKFS
CLL_05-76_S302_L006_R1_001.fastq.gz	CLL_05-76_S302_L006_R2_001.fastq.gz	CLL_05-76_S302_L006	WTWPNAFK
CLL_05-76_S303_L006_R1_001.fastq.gz	CLL_05-76_S303_L006_R2_001.fastq.gz	CLL_05-76_S303_L006	LXELDIVD
CLL_05-76_S304_L001_R1_001.fastq.gz	CLL_05-76_S304_L001_R2_001.fastq.gz	CLL_05-76_S304_L001	SJCLRXBA
CLL_05-76_S304_L007_R1_001.fastq.gz	CLL_05-76_S304_L007_R2_001.fastq.gz	CLL_05-76_S304_L007	ZIVYYDSJ
CLL_05-76_S306_L006_R1_001.fastq.gz	CLL_05-76_S306_L006_R2_001.fastq.gz	CLL_05-76_S306_L006	KEDKDEAF
CLL_05-76_S307_L001_R1_001.fastq.gz	CLL_05-76_S307_L001_R2_001.fastq.gz	CLL_05-76_S307_L001	TRBJXUPI
CLL_05-76_S307_L007_R1_001.fastq.gz	CLL_05-76_S307_L007_R2_001.fastq.gz	CLL_05-76_S307_L007	VFKSFFFH
CLL_05-76_S308_L007_R1_001.fastq.gz	CLL_05-76_S308_L007_R2_001.fastq.gz	CLL_05-76_S308_L007	AJLSQBMV
CLL_05-76_S310_L007_R1_001.fastq.gz	CLL_05-76_S310_L007_R2_001.fastq.gz	CLL_05-76_S310_L007	ZDKXOKIK
CLL_05-76_S311_L007_R1_001.fastq.gz	CLL_05-76_S311_L007_R2_001.fastq.gz	CLL_05-76_S311_L007	XIEMMTWN
CLL_05-76_S312_L001_R1_001.fastq.gz	CLL_05-76_S312_L001_R2_001.fastq.gz	CLL_05-76_S312_L001	KSAEYUQH
CLL_05-76_S312_L007_R1_001.fastq.gz	CLL_05-76_S312_L007_R2_001.fastq.gz	CLL_05-76_S312_L007	YMCESMZZ
CLL_05-76_S313_L007_R1_001.fastq.gz	CLL_05-76_S313_L007_R2_001.fastq.gz	CLL_05-76_S313_L007	MFNWFNMO
CLL_05-76_S314_L001_R1_001.fastq.gz	CLL_05-76_S314_L001_R2_001.fastq.gz	CLL_05-76_S314_L001	UKTUPSWQ
CLL_05-76_S315_L001_R1_001.fastq.gz	CLL_05-76_S315_L001_R2_001.fastq.gz	CLL_05-76_S315_L001	SYXJSKKP
CLL_05-76_S315_L006_R1_001.fastq.gz	CLL_05-76_S315_L006_R2_001.fastq.gz	CLL_05-76_S315_L006	JMROODGQ
CLL_05-76_S315_L007_R1_001.fastq.gz	CLL_05-76_S315_L007_R2_001.fastq.gz	CLL_05-76_S315_L007	ITYJHAAL
CLL_05-76_S318_L001_R1_001.fastq.gz	CLL_05-76_S318_L001_R2_001.fastq.gz	CLL_05-76_S318_L001	MMKSCFDN
CLL_05-76_S318_L007_R1_001.fastq.gz	CLL_05-76_S318_L007_R2_001.fastq.gz	CLL_05-76_S318_L007	RWQSHOKK
CLL_05-76_S31_L006_R1_001.fastq.gz	CLL_05-76_S31_L006_R2_001.fastq.gz	CLL_05-76_S31_L006	MIRHYQDG
CLL_05-76_S322_L007_R1_001.fastq.gz	CLL_05-76_S322_L007_R2_001.fastq.gz	CLL_05-76_S322_L007	PLBDZGBB
CLL_05-76_S323_L006_R1_001.fastq.gz	CLL_05-76_S323_L006_R2_001.fastq.gz	CLL_05-76_S323_L006	VCXOTLUY
CLL_05-76_S324_L006_R1_001.fastq.gz	CLL_05-76_S324_L006_R2_001.fastq.gz	CLL_05-76_S324_L006	SKHPHWGY
CLL_05-76_S325_L001_R1_001.fastq.gz	CLL_05-76_S325_L001_R2_001.fastq.gz	CLL_05-76_S325_L001	LRNCWBST
CLL_05-76_S327_L001_R1_001.fastq.gz	CLL_05-76_S327_L001_R2_001.fastq.gz	CLL_05-76_S327_L001	ADWEWOST
CLL_05-76_S32_L006_R1_001.fastq.gz	CLL_05-76_S32_L006_R2_001.fastq.gz	CLL_05-76_S32_L006	PYQEXIHQ
CLL_05-76_S332_L001_R1_001.fastq.gz	CLL_05-76_S332_L001_R2_001.fastq.gz	CLL_05-76_S332_L001	MNSXYNKN
CLL_05-76_S333_L001_R1_001.fastq.gz	CLL_05-76_S333_L001_R2_001.fastq.gz	CLL_05-76_S333_L001	ZXXQKFTW
CLL_05-76_S334_L006_R1_001.fastq.gz	CLL_05-76_S334_L006_R2_001.fastq.gz	CLL_05-76_S334_L006	IWVCVMUE
CLL_05-76_S335_L001_R1_001.fastq.gz	CLL_05-76_S335_L001_R2_001.fastq.gz	CLL_05-76_S335_L001	NSURGGJA
CLL_05-76_S335_L007_R1_001.fastq.gz	CLL_05-76_S335_L007_R2_001.fastq.gz	CLL_05-76_S335_L007	ABIQCQOC
CLL_05-76_S336_L001_R1_001.fastq.gz	CLL_05-76_S336_L001_R2_001.fastq.gz	CLL_05-76_S336_L001	JUZDXGJG
CLL_05-76_S337_L007_R1_001.fastq.gz	CLL_05-76_S337_L007_R2_001.fastq.gz	CLL_05-76_S337_L007	SGYZIPJP
CLL_05-76_S338_L006_R1_001.fastq.gz	CLL_05-76_S338_L006_R2_001.fastq.gz	CLL_05-76_S338_L006	IHGQVJTJ
CLL_05-76_S338_L007_R1_001.fastq.gz	CLL_05-76_S338_L007_R2_001.fastq.gz	CLL_05-76_S338_L007	RXFKWWXU
CLL_05-76_S342_L006_R1_001.fastq.gz	CLL_05-76_S342_L006_R2_001.fastq.gz	CLL_05-76_S342_L006	TFFMAJNC
CLL_05-76_S342_L007_R1_001.fastq.gz	CLL_05-76_S342_L007_R2_001.fastq.gz	CLL_05-76_S342_L007	JIZWFSSJ
CLL_05-76_S349_L001_R1_001.fastq.gz	CLL_05-76_S349_L001_R2_001.fastq.gz	CLL_05-76_S349_L001	KUVOSDPC
CLL_05-76_S349_L006_R1_001.fastq.gz	CLL_05-76_S349_L006_R2_001.fastq.gz	CLL_05-76_S349_L006	WMDUWALV
CLL_05-76_S350_L007_R1_001.fastq.gz	CLL_05-76_S350_L007_R2_001.fastq.gz	CLL_05-76_S350_L007	DOSGNNDS
CLL_05-76_S351_L007_R1_001.fastq.gz	CLL_05-76_S351_L007_R2_001.fastq.gz	CLL_05-76_S351_L007	TENUQVFD
CLL_05-76_S352_L001_R1_001.fastq.gz	CLL_05-76_S352_L001_R2_001.fastq.gz	CLL_05-76_S352_L001	MBBOBSPP
CLL_05-76_S353_L001_R1_001.fastq.gz	CLL_05-76_S353_L001_R2_001.fastq.gz	CLL_05-76_S353_L001	DPYDDCQE
CLL_05-76_S354_L006_R1_001.fastq.gz	CLL_05-76_S354_L006_R2_001.fastq.gz	CLL_05-76_S354_L006	MDMKUXRW
CLL_05-76_S355_L001_R1_001.fastq.gz	CLL_05-76_S355_L001_R2_001.fastq.gz	CLL_05-76_S355_L001	YRTJTWJO
CLL_05-76_S355_L007_R1_001.fastq.gz	CLL_05-76_S355_L007_R2_001.fastq.gz	CLL_05-76_S355_L007	VNGLRSEO
CLL_05-76_S356_L007_R1_001.fastq.gz	CLL_05-76_S356_L007_R2_001.fastq.gz	CLL_05-76_S356_L007	SVDFHASU
CLL_05-76_S359_L007_R1_001.fastq.gz	CLL_05-76_S359_L007_R2_001.fastq.gz	CLL_05-76_S359_L007	SOSAWHDB
CLL_05-76_S35_L001_R1_001.fastq.gz	CLL_05-76_S35_L001_R2_001.fastq.gz	CLL_05-76_S35_L001	EXUKPEHZ
CLL_05-76_S35_L006_R1_001.fastq.gz	CLL_05-76_S35_L006_R2_001.fastq.gz	CLL_05-76_S35_L006	ZYAFLTUE
CLL_05-76_S361_L001_R1_001.fastq.gz	CLL_05-76_S361_L001_R2_001.fastq.gz	CLL_05-76_S361_L001	WWEQWSTP
CLL_05-76_S361_L006_R1_001.fastq.gz	CLL_05-76_S361_L006_R2_001.fastq.gz	CLL_05-76_S361_L006	WXIZXPZP
CLL_05-76_S361_L007_R1_001.fastq.gz	CLL_05-76_S361_L007_R2_001.fastq.gz	CLL_05-76_S361_L007	DNUFVRRJ
CLL_05-76_S365_L006_R1_001.fastq.gz	CLL_05-76_S365_L006_R2_001.fastq.gz	CLL_05-76_S365_L006	PFDOLWLV
CLL_05-76_S366_L006_R1_001.fastq.gz	CLL_05-76_S366_L006_R2_001.fastq.gz	CLL_05-76_S366_L006	COOMTGJN
CLL_05-76_S368_L007_R1_001.fastq.gz	CLL_05-76_S368_L007_R2_001.fastq.gz	CLL_05-76_S368_L007	ICRLYXXC
CLL_05-76_S369_L006_R1_001.fastq.gz	CLL_05-76_S369_L006_R2_001.fastq.gz	CLL_05-76_S369_L006	QCKYIMPS
CLL_05-76_S36_L006_R1_001.fastq.gz	CLL_05-76_S36_L006_R2_001.fastq.gz	CLL_05-76_S36_L006	FRSKBEQN
CLL_05-76_S370_L006_R1_001.fastq.gz	CLL_05-76_S370_L006_R2_001.fastq.gz	CLL_05-76_S370_L006	PKYYJYKT
CLL_05-76_S371_L007_R1_001.fastq.gz	CLL_05-76_S371_L007_R2_001.fastq.gz	CLL_05-76_S371_L007	JKQGHODT
CLL_05-76_S373_L006_R1_001.fastq.gz	CLL_05-76_S373_L006_R2_001.fastq.gz	CLL_05-76_S373_L006	AZVMNFCV
CLL_05-76_S374_L001_R1_001.fastq.gz	CLL_05-76_S374_L001_R2_001.fastq.gz	CLL_05-76_S374_L001	FMDQJIQK
CLL_05-76_S374_L007_R1_001.fastq.gz	CLL_05-76_S374_L007_R2_001.fastq.gz	CLL_05-76_S374_L007	OQMZDATX
CLL_05-76_S376_L001_R1_001.fastq.gz	CLL_05-76_S376_L001_R2_001.fastq.gz	CLL_05-76_S376_L001	TANMOOAJ
CLL_05-76_S377_L001_R1_001.fastq.gz	CLL_05-76_S377_L001_R2_001.fastq.gz	CLL_05-76_S377_L001	LKZOIKCH
CLL_05-76_S377_L007_R1_001.fastq.gz	CLL_05-76_S377_L007_R2_001.fastq.gz	CLL_05-76_S377_L007	ETDMBHLF
CLL_05-76_S379_L006_R1_001.fastq.gz	CLL_05-76_S379_L006_R2_001.fastq.gz	CLL_05-76_S379_L006	TWUDQHCX
CLL_05-76_S37_L007_R1_001.fastq.gz	CLL_05-76_S37_L007_R2_001.fastq.gz	CLL_05-76_S37_L007	KOYQZDTZ
CLL_05-76_S382_L001_R1_001.fastq.gz	CLL_05-76_S382_L001_R2_001.fastq.gz	CLL_05-76_S382_L001	XTSFBZSM
CLL_05-76_S382_L006_R1_001.fastq.gz	CLL_05-76_S382_L006_R2_001.fastq.gz	CLL_05-76_S382_L006	QZMNFFWJ
CLL_05-76_S382_L007_R1_001.fastq.gz	CLL_05-76_S382_L007_R2_001.fastq.gz	CLL_05-76_S382_L007	SGOOCKCG
CLL_05-76_S383_L006_R1_001.fastq.gz	CLL_05-76_S383_L006_R2_001.fastq.gz	CLL_05-76_S383_L006	IFFSDPBZ
CLL_05-76_S384_L007_R1_001.fastq.gz	CLL_05-76_S384_L007_R2_001.fastq.gz	CLL_05-76_S384_L007	SMUXCODV
CLL_05-76_S38_L001_R1_001.fastq.gz	CLL_05-76_S38_L001_R2_001.fastq.gz	CLL_05-76_S38_L001	KGCHNNWH
CLL_05-76_S39_L001_R1_001.fastq.gz	CLL_05-76_S39_L001_R2_001.fastq.gz	CLL_05-76_S39_L001	TQODXYMX
CLL_05-76_S3_L001_R1_001.fastq.gz	CLL_05-76_S3_L001_R2_001.fastq.gz	CLL_05-76_S3_L001	URCFNXRJ
CLL_05-76_S41_L006_R1_001.fastq.gz	CLL_05-76_S41_L006_R2_001.fastq.gz	CLL_05-76_S41_L006	AHYYANMJ
CLL_05-76_S43_L006_R1_001.fastq.gz	CLL_05-76_S43_L006_R2_001.fastq.gz	CLL_05-76_S43_L006	LTAUEZSG
CLL_05-76_S45_L001_R1_001.fastq.gz	CLL_05-76_S45_L001_R2_001.fastq.gz	CLL_05-76_S45_L001	CPWMRXBY
CLL_05-76_S46_L001_R1_001.fastq.gz	CLL_05-76_S46_L001_R2_001.fastq.gz	CLL_05-76_S46_L001	KEAKCPWJ
CLL_05-76_S46_L006_R1_001.fastq.gz	CLL_05-76_S46_L006_R2_001.fastq.gz	CLL_05-76_S46_L006	WPRQDPHH
CLL_05-76_S47_L006_R1_001.fastq.gz	CLL_05-76_S47_L006_R2_001.fastq.gz	CLL_05-76_S47_L006	GVFUVKYV
CLL_05-76_S47_L007_R1_001.fastq.gz	CLL_05-76_S47_L007_R2_001.fastq.gz	CLL_05-76_S47_L007	LCDDRJYY
CLL_05-76_S48_L006_R1_001.fastq.gz	CLL_05-76_S48_L006_R2_001.fastq.gz	CLL_05-76_S48_L006	PUUPUARJ
CLL_05-76_S49_L006_R1_001.fastq.gz	CLL_05-76_S49_L006_R2_001.fastq.gz	CLL_05-76_S49_L006	XFACUWVI
CLL_05-76_S4_L006_R1_001.fastq.gz	CLL_05-76_S4_L006_R2_001.fastq.gz	CLL_05-76_S4_L006	LVWRNIDH
CLL_05-76_S4_L007_R1_001.fastq.gz	CLL_05-76_S4_L007_R2_001.fastq.gz	CLL_05-76_S4_L007	KWGVJOEG
CLL_05-76_S51_L006_R1_001.fastq.gz	CLL_05-76_S51_L006_R2_001.fastq.gz	CLL_05-76_S51_L006	OAQXWPZG
CLL_05-76_S53_L001_R1_001.fastq.gz	CLL_05-76_S53_L001_R2_001.fastq.gz	CLL_05-76_S53_L001	OFNNQJYR
CLL_05-76_S57_L006_R1_001.fastq.gz	CLL_05-76_S57_L006_R2_001.fastq.gz	CLL_05-76_S57_L006	IEEXTKWS
CLL_05-76_S58_L001_R1_001.fastq.gz	CLL_05-76_S58_L001_R2_001.fastq.gz	CLL_05-76_S58_L001	BHCWQTLK
CLL_05-76_S59_L007_R1_001.fastq.gz	CLL_05-76_S59_L007_R2_001.fastq.gz	CLL_05-76_S59_L007	MCJDQHCH
CLL_05-76_S60_L001_R1_001.fastq.gz	CLL_05-76_S60_L001_R2_001.fastq.gz	CLL_05-76_S60_L001	KILEPRNK
CLL_05-76_S61_L006_R1_001.fastq.gz	CLL_05-76_S61_L006_R2_001.fastq.gz	CLL_05-76_S61_L006	QHJBNKRM
CLL_05-76_S63_L001_R1_001.fastq.gz	CLL_05-76_S63_L001_R2_001.fastq.gz	CLL_05-76_S63_L001	KUHEAAEY
CLL_05-76_S63_L007_R1_001.fastq.gz	CLL_05-76_S63_L007_R2_001.fastq.gz	CLL_05-76_S63_L007	QXIOMJSJ
CLL_05-76_S64_L006_R1_001.fastq.gz	CLL_05-76_S64_L006_R2_001.fastq.gz	CLL_05-76_S64_L006	MNTDXFKN
CLL_05-76_S64_L007_R1_001.fastq.gz	CLL_05-76_S64_L007_R2_001.fastq.gz	CLL_05-76_S64_L007	GDFZRUAC
CLL_05-76_S65_L007_R1_001.fastq.gz	CLL_05-76_S65_L007_R2_001.fastq.gz	CLL_05-76_S65_L007	VKZJRCIU
CLL_05-76_S69_L001_R1_001.fastq.gz	CLL_05-76_S69_L001_R2_001.fastq.gz	CLL_05-76_S69_L001	GMTZXRQK
CLL_05-76_S69_L007_R1_001.fastq.gz	CLL_05-76_S69_L007_R2_001.fastq.gz	CLL_05-76_S69_L007	DSTCYJPX
CLL_05-76_S71_L001_R1_001.fastq.gz	CLL_05-76_S71_L001_R2_001.fastq.gz	CLL_05-76_S71_L001	ADEEHOJS
CLL_05-76_S73_L007_R1_001.fastq.gz	CLL_05-76_S73_L007_R2_001.fastq.gz	CLL_05-76_S73_L007	POJDDWHX
CLL_05-76_S74_L006_R1_001.fastq.gz	CLL_05-76_S74_L006_R2_001.fastq.gz	CLL_05-76_S74_L006	MOXRNFTK
CLL_05-76_S76_L001_R1_001.fastq.gz	CLL_05-76_S76_L001_R2_001.fastq.gz	CLL_05-76_S76_L001	PLWPKWXF
CLL_05-76_S77_L001_R1_001.fastq.gz	CLL_05-76_S77_L001_R2_001.fastq.gz	CLL_05-76_S77_L001	JBBJGBRU
CLL_05-76_S78_L007_R1_001.fastq.gz	CLL_05-76_S78_L007_R2_001.fastq.gz	CLL_05-76_S78_L007	JWXFXSCM
CLL_05-76_S79_L001_R1_001.fastq.gz	CLL_05-76_S79_L001_R2_001.fastq.gz	CLL_05-76_S79_L001	QFBXNMAP
CLL_05-76_S7_L001_R1_001.fastq.gz	CLL_05-76_S7_L001_R2_001.fastq.gz	CLL_05-76_S7_L001	HUDJASYT
CLL_05-76_S7_L007_R1_001.fastq.gz	CLL_05-76_S7_L007_R2_001.fastq.gz	CLL_05-76_S7_L007	HTJPISYB
CLL_05-76_S80_L006_R1_001.fastq.gz	CLL_05-76_S80_L006_R2_001.fastq.gz	CLL_05-76_S80_L006	YTMSCHOV
CLL_05-76_S80_L007_R1_001.fastq.gz	CLL_05-76_S80_L007_R2_001.fastq.gz	CLL_05-76_S80_L007	VUMFSVTY
CLL_05-76_S81_L007_R1_001.fastq.gz	CLL_05-76_S81_L007_R2_001.fastq.gz	CLL_05-76_S81_L007	QCQXURTB
CLL_05-76_S82_L006_R1_001.fastq.gz	CLL_05-76_S82_L006_R2_001.fastq.gz	CLL_05-76_S82_L006	LAEANVCK
CLL_05-76_S82_L007_R1_001.fastq.gz	CLL_05-76_S82_L007_R2_001.fastq.gz	CLL_05-76_S82_L007	XPOVTKMS
CLL_05-76_S83_L001_R1_001.fastq.gz	CLL_05-76_S83_L001_R2_001.fastq.gz	CLL_05-76_S83_L001	DWCKRONI
CLL_05-76_S84_L007_R1_001.fastq.gz	CLL_05-76_S84_L007_R2_001.fastq.gz	CLL_05-76_S84_L007	IZWWGWQD
CLL_05-76_S86_L001_R1_001.fastq.gz	CLL_05-76_S86_L001_R2_001.fastq.gz	CLL_05-76_S86_L001	VBNAMUYA
CLL_05-76_S86_L007_R1_001.fastq.gz	CLL_05-76_S86_L007_R2_001.fastq.gz	CLL_05-76_S86_L007	WLLRKBKZ
CLL_05-76_S87_L001_R1_001.fastq.gz	CLL_05-76_S87_L001_R2_001.fastq.gz	CLL_05-76_S87_L001	CXKYUHMR
CLL_05-76_S8_L001_R1_001.fastq.gz	CLL_05-76_S8_L001_R2_001.fastq.gz	CLL_05-76_S8_L001	YGWXDCGR
CLL_05-76_S90_L006_R1_001.fastq.gz	CLL_05-76_S90_L006_R2_001.fastq.gz	CLL_05-76_S90_L006	MGPUFUIZ
