library_id,plate
AG0081,P2466
AG0082,P2466
AG0083,P2466
AG0084,P2466
AG0085,P2466
AG0086,P2466
AG0087,P2466
AG0088,P2466
AG0089,P2466
AG0090,P2466
AG0091,P2466
AG0092,P2466
AG0093,P2466
AG0094,P2466
AG0095,P2466
AG0096,P2466
AG0097,P2466
AG0098,P2466
AG0099,P2466
AG0100,P2466
AG0101,P2466
AG0102,P2466
AG0103,P2466
AG0104,P2466
AG0105,P2466
AG0106,P2466
AG0107,P2466
AG0108,P2466
AG0109,P2466
AG0110,P2466
AG0111,P2466
AG0112,P2466
AG0113,P2466
AG0114,P2466
AG0115,P2466
AG0116,P2466
AG0117,P2466
AG0118,P2466
AG0119,P2466
AG0120,P2466
AG0121,P2466
AG0122,P2466
AG0123,P2466
AG0124,P2466
AG0125,P2466
AG0126,P2466
AG0127,P2466
AG0128,P2466
AG0129,P2466
AG0130,P2466
AG0131,P2466
AG0132,P2466
AG0133,P2466
AG0134,P2467
AG0135,P2467
AG0136,P2467
AG0137,P2467
AG0138,P2467
AG0139,P2467
AG0140,P2467
AG0141,P2467
AG0142,P2467
AG0143,P2467
AG0144,P2467
AG0145,P2467
AG0146,P2467
AG0147,P2467
AG0148,P2467
AG0149,P2467
AG0150,P2467
AG0151,P2467
AG0152,P2467
AG0153,P2467
AG0154,P2467
AG0155,P2467
AG0156,P2467
AG0157,P2467
AG0158,P2467
AG0159,P2467
AG0160,P2467
AG0161,P2467
AG0162,P2467
AG0163,P2467
AG0164,P2467
AG0165,P2467
AG0166,P2467
AG0167,P2467
AG0168,P2467
AG0169,P2467
AG0170,P2467
AG0171,P2467
AG0172,P2467
AG0173,P2467
AG0174,P2467
AG0175,P2467
AG0176,P2467
AG0177,P2467
AG0178,P2467
AG0179,P2467
AG0180,P2467
AG0181,P2467
AG0182,P2467
AG0183,P2467
AG0184,P2467
AG0185,P2467
AG0186,P2467
AG0187,P2467
AG0188,P2467
AG0189,P2467
AG0190,P2467
AG0191,P2467
AG0192,P2467
AG0193,P2467
AG0194,P2467
AG0195,P2467
AG0196,P2467
AG0197,P2467
AG0198,P2467
AG0199,P2467
AG0200,P2467
AG0201,P2467
AG0202,P2467
AG0203,P2467
AG0204,P2467
AG0205,P2467
AG0206,P2467
AG0207,P2467
AG0208,P2467
AG0209,P2467
AG0210,P2467
AG0211,P2467
AG0212,P2467
AG0213,P2467
AG0214,P2467
AG0215,P2467
AG0216,P2467
AG0217,P2467
AG0218,P2467
AG0219,P2467
AG0220,P2467
AG0221,P2467
AG0222,P2467
AG0223,P2467
AG0224,P2467
AG0225,P2467
AG0226,P2467
AG0227,P2467
AG0228,P2467
AG0229,P2467
AG0474,P2468
AG0475,P2468
AG0476,P2468
AG0477,P2468
AG0478,P2468
AG0479,P2468
AG0480,P2468
AG0481,P2468
AG0482,P2468
AG0483,P2468
AG0484,P2468
AG0485,P2468
AG0486,P2468
AG0487,P2468
AG0488,P2468
AG0489,P2468
AG0490,P2468
AG0491,P2468
AG0492,P2468
AG0493,P2468
AG0494,P2468
AG0495,P2468
AG0496,P2468
AG0497,P2468
AG0498,P2468
AG0499,P2468
AG0500,P2468
AG0501,P2468
AG0502,P2468
AG0503,P2468
AG0504,P2468
AG0505,P2468
AG0506,P2468
AG0507,P2468
AG0508,P2468
AG0509,P2468
AG0510,P2468
AG0511,P2468
AG0512,P2468
AG0513,P2468
AG0514,P2468
AG0515,P2468
AG0516,P2468
AG0517,P2468
AG0518,P2468
AG0519,P2468
AG0520,P2468
AG0521,P2468
AG0522,P2468
AG0523,P2468
AG0524,P2468
AG0525,P2468
AG0526,P2468
AG0527,P2468
AG0528,P2468
AG0529,P2468
AG0530,P2468
AG0531,P2468
AG0532,P2468
AG0533,P2468
AG0534,P2468
AG0535,P2468
AG0536,P2468
AG0537,P2468
AG0538,P2468
AG0539,P2468
AG0540,P2468
AG0541,P2468
AG0542,P2468
AG0543,P2468
AG0544,P2468
AG0545,P2468
AG0546,P2468
AG0547,P2468
AG0548,P2468
AG0549,P2468
AG0550,P2468
AG0551,P2468
AG0552,P2468
AG0553,P2468
AG0554,P2468
AG0555,P2468
AG0556,P2468
AG0557,P2468
AG0558,P2468
AG0559,P2468
AG0560,P2468
AG0561,P2468
AG0562,P2468
AG0563,P2468
AG0564,P2468
AG0565,P2468
AG0566,P2468
AG0567,P2468
AG0568,P2468
AG0569,P2468
AG0570,P2469
AG0571,P2469
AG0572,P2469
AG0573,P2469
AG0574,P2469
AG0575,P2469
AG0576,P2469
AG0577,P2469
AG0578,P2469
AG0579,P2469
AG0580,P2469
AG0581,P2469
AG0582,P2469
AG0583,P2469
AG0584,P2469
AG0585,P2469
AG0586,P2469
AG0587,P2469
AG0588,P2469
AG0589,P2469
AG0590,P2469
AG0591,P2469
AG0592,P2469
AG0593,P2469
AG0594,P2469
AG0595,P2469
AG0596,P2469
AG0597,P2469
AG0598,P2469
AG0599,P2469
AG0600,P2469
AG0601,P2469
AG0602,P2469
AG0603,P2469
AG0604,P2469
AG0605,P2469
AG0606,P2469
AG0607,P2469
AG0608,P2469
AG0609,P2469
AG0610,P2469
AG0611,P2469
AG0612,P2469
AG0613,P2469
AG0614,P2469
AG0615,P2469
AG0616,P2469
AG0617,P2469
AG0618,P2469
AG0619,P2469
AG0620,P2469
AG0621,P2469
AG0622,P2469
AG0623,P2469
AG0624,P2469
AG0625,P2469
AG0626,P2469
AG0627,P2469
AG0628,P2469
AG0629,P2469
AG0630,P2469
AG0631,P2469
AG0632,P2469
AG0633,P2469
AG0634,P2469
AG0635,P2469
AG0636,P2469
AG0637,P2469
AG0638,P2469
AG0639,P2469
AG0640,P2469
AG0641,P2469
AG0642,P2469
AG0643,P2469
AG0644,P2469
AG0645,P2469
AG0646,P2469
AG0647,P2469
AG0648,P2469
AG0649,P2469
AG0650,P2469
AG0651,P2469
AG0652,P2469
AG0653,P2469
AG0654,P2469
AG0655,P2469
AG0656,P2469
AG0657,P2469
AG0658,P2469
AG0659,P2469
AG0660,P2469
AG0661,P2469
AG0662,P2469
AG0663,P2469
AG0664,P2469
AG0665,P2469
AG0666,P2471
AG0667,P2471
AG0668,P2471
AG0669,P2471
AG0670,P2471
AG0671,P2471
AG0672,P2471
AG0673,P2471
AG0674,P2471
AG0675,P2471
AG0676,P2471
AG0677,P2471
AG0678,P2471
AG0679,P2471
AG0680,P2471
AG0681,P2471
AG0682,P2471
AG0683,P2471
AG0684,P2471
AG0685,P2471
AG0686,P2471
AG0687,P2471
AG0688,P2471
AG0689,P2471
