subproject,library_id,index,donor_id,fastq_path_r1,fastq_path_r2,symbolic_link_r1,symbolic_link_r2,zUMI_barcode,plate,original_barcode,well,sample_id
CLL_52,AG0085,N706-S522-NX-xt,63,/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N706-S522-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N706-S522-NX-xt_2.fastq.gz,CLL_05-76_S315_L007_R1_001.fastq.gz,CLL_05-76_S315_L007_R2_001.fastq.gz,ITYJHAAL,P2466,P2466_N706-S522,CLL_05_76_H06,05/76
CLL_52,AG0189,N723-S522-NX-xt,63,/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N723-S522-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N723-S522-NX-xt_2.fastq.gz,CLL_10-7434_S180_L007_R1_001.fastq.gz,CLL_10-7434_S180_L007_R2_001.fastq.gz,IUOHKHEE,P2467,P2467_N723-S522,CLL_10_7434_H07,10/7434
CLL_52,AF9792,N722-S516-NX-xt,63,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N722-S516-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N722-S516-NX-xt_2.fastq.gz,CLL_05-76_S103_L006_R1_001.fastq.gz,CLL_05-76_S103_L006_R2_001.fastq.gz,IVMHHRZY,P2463,P2463_N722-S516,CLL_05_76_C06,05/76
CLL_52,AF9936,N715-S505-NX-xt,63,/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N715-S505-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N715-S505-NX-xt_2.fastq.gz,CLL_14-2116_S43_L007_R1_001.fastq.gz,CLL_14-2116_S43_L007_R2_001.fastq.gz,IVSWKYMH,P2464,P2464_N715-S505,CLL_14_2116_C12,14/2116
CLL_52,AG0770,N718-S513-NX-xt,63,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N718-S513-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N718-S513-NX-xt_2.fastq.gz,CLL_05-599_S187_L001_R1_001.fastq.gz,CLL_05-599_S187_L001_R2_001.fastq.gz,IWHTIGCR,P2471,P2471_N718-S513,CLL_05_599_A02,05/599
CLL_52,AF9483,N703-S508-NX-xt,63,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N703-S508-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N703-S508-NX-xt_2.fastq.gz,CLL_05-599_S304_L006_R1_001.fastq.gz,CLL_05-599_S304_L006_R2_001.fastq.gz,IWOIZELW,P2460,P2460_N703-S508,CLL_05_599_F03,05/599
CLL_52,AF9601,N722-S506-NX-xt,63,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N722-S506-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N722-S506-NX-xt_2.fastq.gz,CLL_05-76_S334_L006_R1_001.fastq.gz,CLL_05-76_S334_L006_R2_001.fastq.gz,IWVCVMUE,P2461,P2461_N722-S506,CLL_05_76_D06,05/76
CLL_52,AF9947,N716-S508-NX-xt,63,/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N716-S508-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N716-S508-NX-xt_2.fastq.gz,CLL_05-599_S269_L007_R1_001.fastq.gz,CLL_05-599_S269_L007_R2_001.fastq.gz,IWZKJLGK,P2465,P2465_N716-S508,CLL_05_599_F01,05/599
CLL_52,AG0588,N719-S505-NX-xt,63,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N719-S505-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N719-S505-NX-xt_2.fastq.gz,CLL_05-599_S243_L001_R1_001.fastq.gz,CLL_05-599_S243_L001_R2_001.fastq.gz,IYZGLZLG,P2469,P2469_N719-S505,CLL_05_599_C03,05/599
CLL_52,AG0811,N723-S515-NX-xt,63,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N723-S515-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N723-S515-NX-xt_2.fastq.gz,CLL_10-7434_S264_L001_R1_001.fastq.gz,CLL_10-7434_S264_L001_R2_001.fastq.gz,IZGDAUKP,P2471,P2471_N723-S515,CLL_10_7434_B07,10/7434
