library_id,fastq_path,read,pair_id,type
140548,/scratch/project/production/fastq/HCY2YDRXX/1/fastq/HCY2YDRXX_1_SI-GA-G11_2.fastq.gz,R2,P15,hashed_cdna
140548,/scratch/project/production/fastq/HCY2YDRXX/2/fastq/HCY2YDRXX_2_SI-GA-G11_1.fastq.gz,R1,P16,hashed_cdna
140548,/scratch/project/production/fastq/HCY2YDRXX/2/fastq/HCY2YDRXX_2_SI-GA-G11_2.fastq.gz,R2,P16,hashed_cdna
140548,/scratch/project/production/fastq/HG3NLDRXX/1/fastq/HG3NLDRXX_1_SI-GA-G11_1.fastq.gz,R1,P17,hashed_cdna
140548,/scratch/project/production/fastq/HG3NLDRXX/1/fastq/HG3NLDRXX_1_SI-GA-G11_2.fastq.gz,R2,P17,hashed_cdna
140548,/scratch/project/production/fastq/HG3NLDRXX/2/fastq/HG3NLDRXX_2_SI-GA-G11_1.fastq.gz,R1,P18,hashed_cdna
140548,/scratch/project/production/fastq/HG3NLDRXX/2/fastq/HG3NLDRXX_2_SI-GA-G11_2.fastq.gz,R2,P18,hashed_cdna
140549,/scratch/project/production/fastq/HCY2YDRXX/1/fastq/HCY2YDRXX_1_SI-GA-H11_1.fastq.gz,R1,P19,hashed_cdna
140549,/scratch/project/production/fastq/HCY2YDRXX/1/fastq/HCY2YDRXX_1_SI-GA-H11_2.fastq.gz,R2,P19,hashed_cdna
140549,/scratch/project/production/fastq/HCY2YDRXX/2/fastq/HCY2YDRXX_2_SI-GA-H11_1.fastq.gz,R1,P20,hashed_cdna
140549,/scratch/project/production/fastq/HCY2YDRXX/2/fastq/HCY2YDRXX_2_SI-GA-H11_2.fastq.gz,R2,P20,hashed_cdna
140550,/scratch/project/production/fastq/HCY2YDRXX/1/fastq/HCY2YDRXX_1_IlluminaTruSeqD701_1.fastq.gz,R1,P21,hashed_hto
140550,/scratch/project/production/fastq/HCY2YDRXX/1/fastq/HCY2YDRXX_1_IlluminaTruSeqD701_2.fastq.gz,R2,P21,hashed_hto
140550,/scratch/project/production/fastq/HCY2YDRXX/2/fastq/HCY2YDRXX_2_IlluminaTruSeqD701_1.fastq.gz,R1,P22,hashed_hto
140550,/scratch/project/production/fastq/HCY2YDRXX/2/fastq/HCY2YDRXX_2_IlluminaTruSeqD701_2.fastq.gz,R2,P22,hashed_hto
140551,/scratch/project/production/fastq/HCY2YDRXX/1/fastq/HCY2YDRXX_1_IlluminaTruSeqD702_1.fastq.gz,R1,P23,hashed_hto
140551,/scratch/project/production/fastq/HCY2YDRXX/1/fastq/HCY2YDRXX_1_IlluminaTruSeqD702_2.fastq.gz,R2,P23,hashed_hto
140551,/scratch/project/production/fastq/HCY2YDRXX/2/fastq/HCY2YDRXX_2_IlluminaTruSeqD702_1.fastq.gz,R1,P24,hashed_hto
140551,/scratch/project/production/fastq/HCY2YDRXX/2/fastq/HCY2YDRXX_2_IlluminaTruSeqD702_2.fastq.gz,R2,P24,hashed_hto
140552,/scratch/project/production/fastq/HCY2YDRXX/1/fastq/HCY2YDRXX_1_IlluminaTruSeqD703_1.fastq.gz,R1,P25,hashed_hto
140552,/scratch/project/production/fastq/HCY2YDRXX/1/fastq/HCY2YDRXX_1_IlluminaTruSeqD703_2.fastq.gz,R2,P25,hashed_hto
140552,/scratch/project/production/fastq/HCY2YDRXX/2/fastq/HCY2YDRXX_2_IlluminaTruSeqD703_1.fastq.gz,R1,P26,hashed_hto
140552,/scratch/project/production/fastq/HCY2YDRXX/2/fastq/HCY2YDRXX_2_IlluminaTruSeqD703_2.fastq.gz,R2,P26,hashed_hto
140553,/scratch/project/production/fastq/HCY2YDRXX/1/fastq/HCY2YDRXX_1_IlluminaTruSeqD704_1.fastq.gz,R1,P27,hashed_hto
